date,mm_moving_total
2024-04-01,10.086157253599044
2024-04-02,16.111074197120637
2024-04-03,16.468217054263494
2024-04-04,24.949169435215875
2024-04-05,28.677740863787303
2024-04-06,23.205426356589076
2024-04-07,38.43333333333326
2024-04-08,42.50310077519373
2024-04-09,36.97585825027679
2024-04-10,37.32945736434102
2024-04-11,35.2323366555924
2024-04-12,33.50697674418598
2024-04-13,46.274529346622295
2024-04-14,60.850110741971136
2024-04-15,58.48197120708741
2024-04-16,85.2548583313075
2024-04-17,101.44748453663932
2024-04-18,95.0318294033438
2024-04-19,92.00573751451795
2024-04-20,77.83512195121945
2024-04-21,48.023217189314686
2024-04-22,47.36178861788611
2024-04-23,25.392334494773444
2024-04-24,13.855632984901206
2024-04-25,15.244599303135818
2024-04-26,20.55795586527287
2024-04-27,31.69999999999993
2024-04-28,62.78571428571421
2024-04-29,70.15714285714277
2024-04-30,117.79999999999993
2024-05-01,155.91428571428565
2024-05-02,234.33690476190466
2024-05-03,254.61016483516477
2024-05-04,264.68012820512814
2024-05-05,254.68604841104832
2024-05-06,247.81104841104832
2024-05-07,202.91004590478266
2024-05-08,165.3275836515887
2024-05-09,93.5175836515887
2024-05-10,70.91145482106963
2024-05-11,68.75030097491577
2024-05-12,87.34364816826297
2024-05-13,105.64297249258729
